curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
29,29,29,29,29,29,29,29
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
29,29,29,29,29,29,29,29
14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8
29,29,29,29,29,29,29,29
21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15
29,29,29,29,29,29,29,29
28,28,28,28,28,28,28,28
27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26
25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24
23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0
14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0
21,21,21,21,21,21,21,21
20,20,20,20,20,20,20,20
19,19,19,19,19,19,19,19
18,18,18,18,18,18,18,18
17,17,17,17,17,17,17,17
16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15
0,0,0,0,0,0,0,0
28,28,28,28,28,28,28,28
27,27,27,27,27,27,27,27
26,26,26,26,26,26,26,26
25,25,25,25,25,25,25,25
24,24,24,24,24,24,24,24
23,23,23,23,23,23,23,23
22,22,22,22,22,22,22,22
0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
