curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
22,22,22,22,22,22,22,22
11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
22,22,22,22,22,22,22,22
21,11,11,11,21,21,21,21
20,10,10,10,20,20,20,20
19,9,9,9,19,19,19,19
18,8,8,8,18,18,18,18
17,7,7,7,17,17,17,17
16,6,6,6,16,16,16,16
15,5,5,5,15,15,15,15
14,4,4,4,14,14,14,14
13,3,3,3,13,13,13,13
12,2,2,2,12,12,12,12
22,22,22,22,22,22,22,22
1,21,21,21,21,21,21,1
0,20,20,20,20,20,20,0
0,19,19,19,19,19,19,0
0,18,18,18,18,18,18,0
0,17,17,17,17,17,17,0
0,16,16,16,16,16,16,0
0,15,15,15,15,15,15,0
0,14,14,14,14,14,14,0
0,13,13,13,13,13,13,0
0,12,12,12,12,12,12,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0
21,11,11,11,21,21,21,21
20,10,10,10,20,20,20,20
19,9,9,9,19,19,19,19
18,8,8,8,18,18,18,18
17,7,7,7,17,17,17,17
16,6,6,6,16,16,16,16
15,5,5,5,15,15,15,15
14,4,4,4,14,14,14,14
13,3,3,3,13,13,13,13
12,2,2,2,12,12,12,12
0,0,0,0,0,0,0,0
1,21,21,21,21,21,21,1
0,20,20,20,20,20,20,0
0,19,19,19,19,19,19,0
0,18,18,18,18,18,18,0
0,17,17,17,17,17,17,0
0,16,16,16,16,16,16,0
0,15,15,15,15,15,15,0
0,14,14,14,14,14,14,0
0,13,13,13,13,13,13,0
0,12,12,12,12,12,12,0
0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,2,3,4,5,6,7,8
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,9,10,11,12,13,14,15
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
-1,16,17,18,19,20,21,1
